qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sscinames	stitle	sblastnames
comp24269_c0_seq1	sp|P02460|CO2A1_CHICK	77.55	49	11	0	2	148	321	369	3e-22	91.7	N/A	Collagen alpha-1(II) chain (Fragment) OS=Gallus gallus GN=COL2A1 PE=2 SV=1	N/A
comp24269_c0_seq2	sp|P02460|CO2A1_CHICK	77.55	49	11	0	2	148	321	369	1e-20	91.7	N/A	Collagen alpha-1(II) chain (Fragment) OS=Gallus gallus GN=COL2A1 PE=2 SV=1	N/A
comp24460_c0_seq1	sp|P12035|K2C3_HUMAN	65.38	78	27	0	26	259	234	311	4e-26	 105	N/A	Keratin, type II cytoskeletal 3 OS=Homo sapiens GN=KRT3 PE=1 SV=3	N/A
comp24509_c0_seq1	sp|Q8LX30|COX1_LEMCA	62.86	35	13	0	87	191	479	513	6e-08	52.4	N/A	Cytochrome c oxidase subunit 1 OS=Lemur catta GN=MT-CO1 PE=3 SV=1	N/A
comp24523_c0_seq1	sp|Q2MHN2|FRIH_FELCA	87.18	39	4	1	15	128	49	87	2e-15	70.9	N/A	Ferritin heavy chain OS=Felis catus GN=FTH1 PE=2 SV=3	N/A
comp24651_c0_seq1	sp|O78681|COX1_CARAU	90.60	117	11	0	3	353	28	144	1e-43	 154	N/A	Cytochrome c oxidase subunit 1 OS=Carassius auratus GN=mt-co1 PE=3 SV=1	N/A
comp24704_c0_seq1	sp|Q29TV8|GKN2_RAT	28.95	76	54	0	104	331	30	105	4e-06	47.0	N/A	Gastrokine-2 OS=Rattus norvegicus GN=Gkn2 PE=2 SV=1	N/A
comp24705_c0_seq1	sp|P18709|VITA2_XENLA	41.33	75	43	1	1	225	162	235	3e-11	63.2	N/A	Vitellogenin-A2 OS=Xenopus laevis PE=1 SV=1	N/A
comp24727_c0_seq1	sp|P02680|FIBG_RAT	51.35	148	72	0	3	446	41	188	2e-43	 154	N/A	Fibrinogen gamma chain OS=Rattus norvegicus GN=Fgg PE=1 SV=3	N/A
comp24777_c0_seq1	sp|Q6PBF0|RL8_XENTR	98.46	130	2	0	4	393	67	196	5e-78	 238	N/A	60S ribosomal protein L8 OS=Xenopus tropicalis GN=rpl8 PE=2 SV=3	N/A
comp24792_c0_seq1	sp|Q5R8M9|RS19_PONAB	94.37	71	4	0	2	214	75	145	8e-42	 139	N/A	40S ribosomal protein S19 OS=Pongo abelii GN=RPS19 PE=2 SV=3	N/A
comp24819_c0_seq1	sp|P34913|HYES_HUMAN	60.27	73	28	1	10	225	483	555	1e-20	89.4	N/A	Bifunctional epoxide hydrolase 2 OS=Homo sapiens GN=EPHX2 PE=1 SV=2	N/A
comp24887_c0_seq1	sp|Q9ZZ44|NU5M_SQUAC	37.84	111	63	1	7	321	4	114	4e-12	66.2	N/A	NADH-ubiquinone oxidoreductase chain 5 OS=Squalus acanthias GN=MT-ND5 PE=3 SV=1	N/A
comp24990_c0_seq1	sp|O47423|NU4M_BRAFL	77.55	49	11	0	212	66	196	244	2e-18	82.0	N/A	NADH-ubiquinone oxidoreductase chain 4 OS=Branchiostoma floridae GN=ND4 PE=3 SV=1	N/A
comp25379_c0_seq1	sp|P07926|AT5G2_BOVIN	100.00	45	0	0	1	135	99	143	4e-23	91.7	N/A	ATP synthase F(0) complex subunit C2, mitochondrial OS=Bos taurus GN=ATP5G2 PE=1 SV=1	N/A
comp25522_c0_seq1	sp|Q13330|MTA1_HUMAN	89.39	66	6	1	253	59	259	324	8e-32	 121	N/A	Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2	N/A
comp25766_c0_seq1	sp|P26373|RL13_HUMAN	94.74	38	2	0	62	175	174	211	1e-15	72.0	N/A	60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4	N/A
comp25939_c0_seq1	sp|P23667|CO3_XENLA	66.12	183	62	0	2	550	141	323	2e-88	 269	N/A	Complement C3 (Fragment) OS=Xenopus laevis GN=c3 PE=2 SV=2	N/A
comp26040_c0_seq1	sp|P15924|DESP_HUMAN	81.25	48	9	0	2	145	2772	2819	5e-17	81.6	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp26132_c0_seq1	sp|Q9Z2K1|K1C16_MOUSE	61.29	124	48	0	1	372	295	418	6e-44	 156	N/A	Keratin, type I cytoskeletal 16 OS=Mus musculus GN=Krt16 PE=1 SV=3	N/A
comp26289_c0_seq1	sp|Q80WJ7|LYRIC_MOUSE	57.14	84	31	1	25	261	149	232	5e-08	53.5	N/A	Protein LYRIC OS=Mus musculus GN=Mtdh PE=1 SV=1	N/A
comp26309_c0_seq1	sp|Q90YU3|RL24_ICTPU	74.32	74	17	1	2	217	84	157	1e-06	47.0	N/A	60S ribosomal protein L24 OS=Ictalurus punctatus GN=rpl24 PE=2 SV=1	N/A
comp26386_c0_seq1	sp|Q7ZTZ2|RLP24_DANRE	82.26	62	11	0	10	195	100	161	2e-26	 100	N/A	Probable ribosome biogenesis protein RLP24 OS=Danio rerio GN=rsl24d1 PE=2 SV=1	N/A
comp26459_c0_seq1	sp|P02467|CO1A2_CHICK	85.92	71	10	0	1	213	1264	1334	1e-35	 132	N/A	Collagen alpha-2(I) chain (Fragments) OS=Gallus gallus GN=COL1A2 PE=1 SV=2	N/A
comp26528_c0_seq1	sp|O92815|POL_WDSV	37.07	116	63	2	23	340	874	989	8e-15	76.3	N/A	Gag-Pol polyprotein OS=Walleye dermal sarcoma virus GN=gag-pol PE=1 SV=2	N/A
comp26576_c0_seq1	sp|P02671|FIBA_HUMAN	73.57	140	35	2	3	416	726	865	1e-66	 223	N/A	Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2	N/A
comp26716_c0_seq1	sp|P04146|COPIA_DROME	39.22	102	55	4	352	59	614	712	2e-16	79.3	N/A	Copia protein OS=Drosophila melanogaster GN=GIP PE=1 SV=3	N/A
comp26744_c0_seq1	sp|P01023|A2MG_HUMAN	50.00	106	53	0	2	319	747	852	2e-28	 113	N/A	Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3	N/A
comp27014_c0_seq1	sp|P51161|FABP6_HUMAN	62.50	48	18	0	2	145	81	128	1e-13	65.9	N/A	Gastrotropin OS=Homo sapiens GN=FABP6 PE=1 SV=2	N/A
comp27041_c0_seq1	sp|P00423|COX41_BOVIN	76.92	26	6	0	3	80	144	169	4e-08	50.8	N/A	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Bos taurus GN=COX4I1 PE=1 SV=1	N/A
comp27679_c0_seq1	sp|A8K2U0|A2ML1_HUMAN	33.33	90	52	3	4	273	243	324	4e-08	53.9	N/A	Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens GN=A2ML1 PE=1 SV=3	N/A
comp27696_c0_seq1	sp|Q61475|DAF1_MOUSE	40.66	91	50	4	21	284	81	170	4e-10	59.3	N/A	Complement decay-accelerating factor, GPI-anchored OS=Mus musculus GN=Cd55 PE=2 SV=2	N/A
comp27753_c0_seq1	sp|P24969|NU1M_CYPCA	80.41	97	19	0	2	292	130	226	5e-37	 132	N/A	NADH-ubiquinone oxidoreductase chain 1 OS=Cyprinus carpio GN=MT-ND1 PE=3 SV=1	N/A
comp27795_c0_seq1	sp|P15924|DESP_HUMAN	65.71	105	36	0	2	316	1097	1201	3e-34	 134	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp27795_c0_seq1	sp|P15924|DESP_HUMAN	51.88	133	57	1	155	553	1754	1879	2e-29	 120	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp27795_c0_seq1	sp|P15924|DESP_HUMAN	32.14	196	99	7	20	553	1252	1431	5e-06	49.7	N/A	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	N/A
comp27924_c0_seq1	sp|P03922|NU5M_XENLA	51.72	58	27	1	6	176	543	600	7e-08	52.4	N/A	NADH-ubiquinone oxidoreductase chain 5 OS=Xenopus laevis GN=mt-nd5 PE=3 SV=1	N/A
comp27955_c0_seq1	sp|P45591|COF2_MOUSE	73.17	41	11	0	2	124	126	166	9e-13	63.5	N/A	Cofilin-2 OS=Mus musculus GN=Cfl2 PE=1 SV=1	N/A
comp28079_c0_seq1	sp|P04785|PDIA1_RAT	79.49	78	16	0	3	236	402	479	7e-39	 141	N/A	Protein disulfide-isomerase OS=Rattus norvegicus GN=P4hb PE=1 SV=2	N/A
comp28223_c0_seq1	sp|O03173|NU4M_LATCH	57.30	89	38	0	2	268	131	219	2e-23	96.3	N/A	NADH-ubiquinone oxidoreductase chain 4 OS=Latimeria chalumnae GN=MT-ND4 PE=3 SV=1	N/A
comp28393_c0_seq1	sp|P02675|FIBB_HUMAN	70.00	40	12	0	1	120	449	488	7e-12	63.5	N/A	Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2	N/A
comp28561_c0_seq1	sp|P02553|TBA_LYTPI	96.20	79	3	0	3	239	71	149	3e-49	 160	N/A	Tubulin alpha chain (Fragment) OS=Lytechinus pictus PE=3 SV=1	N/A
comp28631_c0_seq1	sp|P80021|ATPA_PIG	95.83	72	3	0	1	216	48	119	2e-38	 137	N/A	ATP synthase subunit alpha, mitochondrial OS=Sus scrofa GN=ATP5A1 PE=1 SV=2	N/A
comp28753_c0_seq1	sp|Q8JZR0|ACSL5_MOUSE	70.51	78	23	0	3	236	597	674	4e-28	 111	N/A	Long-chain-fatty-acid--CoA ligase 5 OS=Mus musculus GN=Acsl5 PE=1 SV=1	N/A
comp28809_c0_seq1	sp|Q7LHG5|YI31B_YEAST	39.71	68	41	0	205	2	628	695	1e-09	57.8	N/A	Transposon Ty3-I Gag-Pol polyprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TY3B-I PE=3 SV=2	N/A
comp28819_c0_seq1	sp|Q5QNS5|HAVR1_MOUSE	36.17	94	59	1	65	343	16	109	3e-14	70.5	N/A	Hepatitis A virus cellular receptor 1 homolog OS=Mus musculus GN=Havcr1 PE=1 SV=2	N/A
comp28827_c0_seq1	sp|P03934|TC1A_CAEEL	40.71	113	66	1	4	339	36	148	3e-21	90.1	N/A	Transposable element Tc1 transposase OS=Caenorhabditis elegans GN=tc1a PE=3 SV=1	N/A
comp28959_c0_seq1	sp|P01027|CO3_MOUSE	59.15	71	29	0	3	215	1513	1583	3e-21	91.7	N/A	Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3	N/A
comp28977_c0_seq1	sp|P50128|5HT2A_MACMU	81.82	33	6	0	226	128	106	138	1e-10	60.1	N/A	5-hydroxytryptamine receptor 2A OS=Macaca mulatta GN=HTR2A PE=2 SV=1	N/A
comp29226_c0_seq1	sp|Q8HZM6|ANXA1_HORSE	70.59	102	30	0	2	307	107	208	3e-39	 139	N/A	Annexin A1 OS=Equus caballus GN=ANXA1 PE=2 SV=3	N/A
comp29226_c0_seq1	sp|Q8HZM6|ANXA1_HORSE	36.92	65	41	0	41	235	279	343	2e-06	48.1	N/A	Annexin A1 OS=Equus caballus GN=ANXA1 PE=2 SV=3	N/A
comp29298_c0_seq1	sp|P0CT40|TF29_SCHPO	50.45	111	55	0	2	334	439	549	8e-28	 112	N/A	Transposon Tf2-9 polyprotein OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=Tf2-9 PE=3 SV=1	N/A
comp29496_c0_seq1	sp|P30714|AT1A1_BUFMA	96.19	105	4	0	1	315	130	234	2e-62	 209	N/A	Sodium/potassium-transporting ATPase subunit alpha-1 OS=Bufo marinus GN=ATP1A1 PE=1 SV=2	N/A
comp29601_c0_seq1	sp|P12104|FABPI_HUMAN	85.19	27	4	0	156	76	106	132	5e-08	50.1	N/A	Fatty acid-binding protein, intestinal OS=Homo sapiens GN=FABP2 PE=1 SV=2	N/A
comp29650_c0_seq1	sp|Q9Y6R7|FCGBP_HUMAN	44.66	103	57	0	4	312	185	287	7e-25	 103	N/A	IgGFc-binding protein OS=Homo sapiens GN=FCGBP PE=1 SV=3	N/A
comp29690_c0_seq1	sp|P28826|MEP1B_RAT	28.28	99	59	3	9	299	616	704	3e-06	48.5	N/A	Meprin A subunit beta OS=Rattus norvegicus GN=Mep1b PE=1 SV=3	N/A
comp29754_c0_seq2	sp|Q28153|CELA1_BOVIN	71.43	49	14	0	3	149	69	117	1e-16	75.9	N/A	Chymotrypsin-like elastase family member 1 OS=Bos taurus GN=CELA1 PE=2 SV=1	N/A
comp30326_c0_seq1	sp|Q58DS9|RAB5C_BOVIN	92.54	67	5	0	1	201	150	216	2e-38	 132	N/A	Ras-related protein Rab-5C OS=Bos taurus GN=RAB5C PE=2 SV=1	N/A
comp30598_c0_seq1	sp|P00846|ATP6_HUMAN	97.09	103	3	0	1	309	124	226	9e-27	 104	N/A	ATP synthase subunit a OS=Homo sapiens GN=MT-ATP6 PE=1 SV=1	N/A
comp30652_c0_seq1	sp|P08734|ENOA_XENLA	96.55	87	3	0	5	265	204	290	6e-52	 173	N/A	Alpha-enolase OS=Xenopus laevis GN=eno1 PE=2 SV=2	N/A
